品名,最低价,平均价,最高价,规格,单位,发布日期
面包蟹,50.00,55.00,60.00,活,斤,2018-04-02
活白虾,42.00,48.50,55.00,45-60头,斤,2018-04-02
冰鲜白虾,25.00,28.00,31.00,30-45头,斤,2018-04-02
冰鲜白虾,20.00,22.50,25.00,45-60头,斤,2018-04-02
琵琶虾,60.00,64.00,68.00,活,斤,2018-04-02
基围虾,160.00,172.50,185.00,20-40头,斤,2018-04-02
波士顿青龙虾,90.00,120.00,150.00,活,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
小青龙虾,30.00,35.00,40.00,活,斤,2018-04-02
北极虾,20.00,23.00,26.00,>100头/风冷,斤,2018-04-02
北极虾,28.00,29.00,30.00,<100头/风冷,斤,2018-04-02
斑节虾,28.00,30.00,32.00,冻,斤,2018-04-02
草虾,20.00,34.00,48.00,6头左右/冻,斤,2018-04-02
明对虾,48.00,49.00,50.00,6头/冻,斤,2018-04-02
澳洲龙虾,200.00,225.00,250.00,<750g,斤,2018-04-02
澳洲龙虾,300.00,375.00,450.00,750g-1250g,斤,2018-04-02
扇贝（地播）,27.00,27.50,28.00,14-16cm/活,斤,2018-04-02
扇贝（地播）,24.00,24.50,25.00,10-14cm/活,斤,2018-04-02
栉孔扇贝,5.00,5.50,6.00,活,斤,2018-04-02
大香螺,18.00,19.00,20.00,活,斤,2018-04-02
小香螺,16.00,16.50,17.00,活,斤,2018-04-02
角螺,13.00,14.00,15.00,活/山东,斤,2018-04-02
钉螺,3.00,3.25,3.50,活/大连,斤,2018-04-02
海螺丝,15.00,15.50,16.00,活/大连,斤,2018-04-02
大海螺,18.00,18.50,19.00,活,斤,2018-04-02
大蛏子,15.00,16.00,17.00,>6cm/活,斤,2018-04-02
大蛏子,13.00,13.50,14.00,<6cm/活,斤,2018-04-02
海虹,4.50,4.75,5.00,活,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
海瓜子,4.00,4.50,5.00,活,斤,2018-04-02
带子,10.00,11.00,12.00,活/烟台,斤,2018-04-02
文蛤,8.00,8.50,9.00,>5cm/活,斤,2018-04-02
文蛤,7.00,7.50,8.00,<5cm/活,斤,2018-04-02
白蛤,4.00,4.50,5.00,活,斤,2018-04-02
青蛤,11.00,11.50,12.00,活,斤,2018-04-02
花蛤,3.50,3.75,4.00,活,斤,2018-04-02
毛蚶,3.00,3.50,4.00,活/南方,斤,2018-04-02
毛蚶,4.00,4.50,5.00,活/北方,斤,2018-04-02
仿野生甲鱼,40.00,44.00,48.00,活,斤,2018-04-02
养殖甲鱼,28.00,31.50,35.00,活,斤,2018-04-02
蚕蛹,29.00,29.50,30.00,活,斤,2018-04-02
牛蛙,10.50,10.75,11.00,活,斤,2018-04-02
