品名,最低价,平均价,最高价,规格,单位,发布日期
品名,最低价,平均价,最高价,规格,单位,发布日期, 
茼蒿,3.50,3.75,4.00,水菜,斤,2018-04-02
蒿子秆,2.50,3.00,3.50,水菜,斤,2018-04-02
樱桃萝卜,2.50,2.75,3.00,水菜,斤,2018-04-02
香芹,3.00,3.25,3.50,水菜,斤,2018-04-02
菠菜,1.50,1.75,2.00,水菜,斤,2018-04-02
苋菜,4.50,5.25,6.00,水菜,斤,2018-04-02
菊花菜,4.00,4.25,4.50,水菜,斤,2018-04-02
青蒜,1.80,1.90,2.00,水菜,斤,2018-04-02
盖菜,1.50,1.75,2.00,水菜,斤,2018-04-02
芥兰,3.00,3.25,3.50,水菜,斤,2018-04-02
菜心,2.00,2.25,2.50,水菜,斤,2018-04-02
紫贝,4.50,4.75,5.00,水菜,斤,2018-04-02
空心菜,3.00,3.25,3.50,水菜,斤,2018-04-02
鸡毛菜,3.00,3.25,3.50,水菜,斤,2018-04-02
荠菜,4.00,4.25,4.50,水菜,斤,2018-04-02
荆芥,3.00,3.50,4.00,水菜,斤,2018-04-02
豌豆苗,3.50,3.75,4.00,水菜,斤,2018-04-02
快菜,1.50,1.65,1.80,水菜,斤,2018-04-02
苦菊,3.00,3.25,3.50,水菜,斤,2018-04-02
穿心莲,1.00,1.50,2.00,水菜,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
木耳菜,2.50,2.75,3.00,水菜,斤,2018-04-02
鸭梨,1.00,1.20,1.40,普通,斤,2018-04-02
雪花梨,0.90,1.05,1.20,普通,斤,2018-04-02
皇冠梨（标箱）,2.00,2.20,2.40,普通,斤,2018-04-02
丰水梨,1.80,1.90,2.00,普通,斤,2018-04-02
红霄梨,2.00,2.50,3.00,普通,斤,2018-04-02
库尔勒香梨,3.00,3.80,4.60,普通,斤,2018-04-02
红香酥梨系列,2.00,2.50,3.00,普通,斤,2018-04-02
酥梨,1.30,1.40,1.50,普通,斤,2018-04-02
耙耙柑,4.00,5.00,6.00,普通,斤,2018-04-02
沙糖桔(中果）,4.00,4.50,5.00,普通,斤,2018-04-02
丑橘(不知火）晚禄,4.00,4.75,5.50,普通,斤,2018-04-02
四川脐橙,1.60,2.00,2.40,普通,斤,2018-04-02
赣南脐橙Ф65-Ф95,2.80,3.65,4.50,普通,斤,2018-04-02
鄂、湘、川脐橙,2.80,3.40,4.00,普通,斤,2018-04-02
血橙/二月红/中华红,4.00,5.00,6.00,普通,斤,2018-04-02
小金桔,2.60,4.80,7.00,普通,斤,2018-04-02
芦柑,1.50,2.00,2.50,普通,斤,2018-04-02
玫瑰香橙,2.00,2.75,3.50,普通,斤,2018-04-02
贵妃柑,3.50,4.25,5.00,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
红心蜜柚,1.20,1.35,1.50,普通,斤,2018-04-02
沃柑（广西）,4.50,5.25,6.00,普通,斤,2018-04-02
蜜柚,1.30,1.50,1.70,普通,斤,2018-04-02
碰碰柑,2.00,2.20,2.40,普通,斤,2018-04-02
马水桔,3.00,3.75,4.50,普通,斤,2018-04-02
油桃,5.00,8.50,12.00,普通,斤,2018-04-02
春雪大桃,5.00,7.50,10.00,普通,斤,2018-04-02
水蜜桃,5.00,10.00,15.00,普通,斤,2018-04-02
猕猴桃（徐香）,3.00,3.50,4.00,普通,斤,2018-04-02
猕猴桃（海沃德）,3.00,3.10,3.20,普通,斤,2018-04-02
猕猴桃（秦美亚特）,2.00,2.25,2.50,普通,斤,2018-04-02
李子,8.00,11.50,15.00,普通,斤,2018-04-02
无籽小号-大号,2.50,2.70,2.90,普通,斤,2018-04-02
海南麒麟西瓜,4.70,4.85,5.00,普通,斤,2018-04-02
麒麟西瓜,3.00,3.40,3.80,普通,斤,2018-04-02
黑美人,2.00,2.50,3.00,普通,斤,2018-04-02
小兰.特小凤,2.40,2.60,2.80,普通,斤,2018-04-02
甜王,2.00,2.40,2.80,普通,斤,2018-04-02
绿宝（p2）,2.00,2.20,2.40,普通,斤,2018-04-02
黑皮,1.80,1.85,1.90,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
国产香蕉,2.80,3.00,3.20,普通,斤,2018-04-02
南美、菲律宾香蕉,4.20,4.40,4.60,普通,斤,2018-04-02
泰国香蕉,7.30,7.50,7.70,普通,斤,2018-04-02
国产皇帝香蕉,3.00,6.00,5.00,普通,斤,2018-04-02
哈密瓜,4.00,4.75,5.50,普通,斤,2018-04-02
白兰甜瓜,3.80,3.90,4.00,普通,斤,2018-04-02
黄金瓜（金蜜）,2.30,2.95,3.60,普通,斤,2018-04-02
状元王,3.30,3.45,3.60,普通,斤,2018-04-02
沙白,4.00,4.25,4.50,普通,斤,2018-04-02
长香玉,3.60,3.80,4.00,普通,斤,2018-04-02
翠梨甜瓜,6.50,6.75,7.00,普通,斤,2018-04-02
东方密1号,4.50,4.75,5.00,普通,斤,2018-04-02
羊角蜜,6.50,7.00,7.50,普通,斤,2018-04-02
花蕾甜瓜,4.80,6.15,7.50,普通,斤,2018-04-02
西州密,4.50,4.75,5.00,普通,斤,2018-04-02
景甜,6.00,6.50,7.00,普通,斤,2018-04-02
绿宝甜瓜,4.50,5.75,7.00,普通,斤,2018-04-02
吊秧香甜,7.50,7.75,8.00,普通,斤,2018-04-02
富士（纸袋Φ70-84）,2.40,2.80,3.20,普通,斤,2018-04-02
富士（膜袋）,1.50,1.75,2.00,普通,斤,2018-04-02
品名,最低价,平均价,最高价,规格,单位,发布日期, 
富士（纸袋Φ85以上）,3.60,4.30,5.00,普通,斤,2018-04-02
黄元帅,1.50,2.00,2.50,普通,斤,2018-04-02
花牛(Φ70-85),1.50,2.65,3.80,普通,斤,2018-04-02
新疆阿克苏（冰糖心）,3.30,3.80,4.30,普通,斤,2018-04-02
国光苹果,2.00,2.10,2.20,普通,斤,2018-04-02
辽宁寒富苹果,1.80,2.15,2.50,普通,斤,2018-04-02
王林苹果,2.00,2.15,2.30,普通,斤,2018-04-02
巨峰葡萄,2.50,3.75,5.00,普通,斤,2018-04-02
